,Description,scores_overall
University of Szeged,"The University of Szeged (Hungarian: Szegedi Tudományegyetem, ) is a public research university in Szeged, Hungary. Established as the Jesuit Academy of Kolozsvár in present-day Cluj-Napoca in 1581, the institution was re-established as a university in 1872 by Emperor Franz Joseph I. The university relocated to Szeged in 1921, making it one of the oldest research universities in Hungary. It went through numerous changes throughout the 20th century and was eventually divided into distinct independent universities. The current University of Szeged was formed in 2000 and is made up of twelve constituent faculties and nineteen doctoral schools, which consist of a range of departments and research groups. Each faculty functions autonomously. In addition to these, the university also operates the Health Centre of the University of Szeged, an extensive teaching hospital responsible for public regional healthcare, and three laboratory schools, which combine public education and teacher training responsibilities. The faculties and associated buildings do not form one single campus, as the buildings are scattered around downtown Szeged, although the Health Centre and the buildings of the Department of Arts are adjacent to each other. Being part of the Bologna zone, most majors are divided into a Bachelor's and Master's and PhD programmes, but the so-called one tyre-master (undivided) programmes are also. The university also operates the Klebelsberg Library, the largest university library in Central Europe, and six university presses. In the fiscal year of 2014, the university had an operating budget of US$220 million. The University of Szeged has educated a large number of notable alumni, including Nobel laureate Albert Szent-Györgyi, political scientist István Bibó, poets Attila József and Gyula Juhász and biochemist Katalin Karikó. In 2014, the QS World University Rankings put the University of Szeged as 501-550 among universities globally. Its highest-ranked subject area was Modern Languages with 101–150 globally.",30.450000000000003
University of Tartu,"The University of Tartu (UT; Estonian: Tartu Ülikool; Latin: Universitas Tartuensis) is a university in the city of Tartu in Estonia. It is the national university of Estonia. It is the only classical university in the country, and also its biggest and most prestigious university. It was founded under the name of Academia Gustaviana in 1632 by Baron Johan Skytte, the Governor-General (1629–1634) of Swedish Livonia, Ingria, and Karelia, with the required ratification provided by his long-time friend and former student – from age 7 –, King Gustavus Adolphus, shortly before the king's death on 6 November in the Battle of Lützen (1632), during the Thirty Years' War (1618–1648). Nearly 14,000 students are at the university, of whom over 1,300 are foreign students. The language of instruction in most curricula is Estonian, some more notable exceptions are taught in English, such as semiotics, applied measurement science, computer science, information technology law, and European Union–Russia studies. The historical buildings of the university are included in the European Heritage Label list as ""embodiment of the ideas of a university in the Age of Enlightenment"". The university is a member of the Coimbra Group and the Utrecht Network.",52.05
University of Tasmania,"The University of Tasmania (UTAS) is a public research university, primarily located in Tasmania, Australia. Founded in 1890, it is Australia's fourth oldest university. Christ College, one of the university's residential colleges, first proposed in 1840 in Lieutenant-Governor Sir John Franklin's Legislative Council, was modeled on the Oxford and Cambridge colleges, and was founded in 1846, making it the oldest tertiary institution in the country. The university is a sandstone university, a member of the international Association of Commonwealth Universities, and the Association of Southeast Asian Institutions of Higher Learning. The university offers various undergraduate and graduate programs in a range of disciplines, and has links with 20 specialist research institutes and co-operative research centres. Its Institute for Marine and Antarctic Studies has strongly contributed to the university's multiple 5 rating scores (well above world standard) for excellence in research awarded by the Australian Research Council. The university also delivers tertiary education at the Australian Maritime College, the national centre for maritime education, training and research.",54.45
University of Technology Sydney,"The University of Technology Sydney (UTS) is a public research university located in Sydney, New South Wales, Australia. Although its origins are said to trace back to the 1830s, the university was founded in its current form in 1988. As of 2021, UTS enrols 45,221 students through its 9 faculties and schools. The university is regarded as one of the world's leading young universities (under 50 years old), ranked 1st in Australia and 11th in the world by the 2021 QS World University Rankings Young Universities. UTS is a founding member of the Australian Technology Network, and is a member of Universities Australia and the Worldwide Universities Network.",62.3
University of Technology of Compiègne,"The University of Technology of Compiègne (French: Université de Technologie de Compiègne, UTC) is a public research university located in Compiègne, France. The university has both the status of public university and grande école. It was founded in 1972 as the first experimental Institute of Technology in France. The university is a founding member of Sorbonne University Association, a group composed of French leading academic and research institutions, which alumni and faculty include 19 Nobel laureates and 7 Fields Medalists.A fundamental principle of the UTC is the education of both engineers and citizens inspired by humanist philosophy. Beyond an education in basic sciences (e.g. Mathematics, theoretical physics) and engineering sciences (e.g. thermodynamics, polymer physics), the curriculum also has a strong emphasise on humanities and social sciences (e.g. philosophy, history of science and engineering, journalism). The overarching goal is to form humanist scientists and technologists capable of solving problems within a conscious and ethical framework of environmental, social, and societal consequences.",25.5
University of Tehran,"The University of Tehran (Tehran University or UT, Persian: دانشگاه تهران) is the most prominent university located in Tehran, Iran. Based on its historical, socio-cultural, and political pedigree, as well as its research and teaching profile, UT has been nicknamed ""The Mother University [of Iran]"" (Persian: دانشگاه مادر). In international rankings, UT has been ranked as one of the best universities in the Middle East and is among the top universities of the world. It is also the premier knowledge producing institute among all OIC countries. Tehran University of Medical Sciences is in the 7th ranking of the Islamic World University Ranking in 2021. The university offers more than 111 bachelor's degree programs, 177 master's degree programs, and 156 PhD. programs. Many of the departments were absorbed into the University of Tehran from the Dar al-Funun established in 1851 and the Tehran School of Political Sciences established in 1899. The main campus of the university is located in the central part of the city. However, other campuses are spread across the city as well as in the suburbs such as the at the central eastern part of the city, the Northern Amirabad Campuses at the central western part of the city and the Abureyhan Campus in the suburb of the capital. The main gate of the university with its specific design and modern architecture (at Enghelab Street at the main campus) is the logo of the university and in a more general sense, a logo of education in Iran. The university is one of the city's attractions, hosting many international and cultural events attracting academia, foreign tourists as well as local residents. The major festive of Friday Prayers of the capital is held at the university's main campus every Friday. Admission to the university's renowned undergraduate and graduate programs is very competitive and is limited to the top one percent of students who pass the national entrance examination administered yearly by the Ministry of Science, Research and Technology.",47.2
University of Texas Rio Grande Valley,"The University of Texas Rio Grande Valley (UTRGV) is a public research university with multiple campuses throughout the Rio Grande Valley region of Texas and is the southernmost member of the University of Texas System. The University of Texas Rio Grande Valley (UTRGV) was created by the Texas Legislature in 2013 after the consolidation of the University of Texas at Brownsville/Texas Southmost College and the University of Texas–Pan American. In 2019 The University of Texas Rio Grande Valley enrolled in the fall 29,619 students, making the public university the ninth-largest university in the state of Texas and the fourth largest (student enrollment) academic institution in The University of Texas system. In 2018, UTRGV is also one of the largest universities in the U.S. to have a majority Hispanic student population; 89.2% of its students are Hispanic, virtually all of them Mexican Americans. It was classified in 2020 among ""R2: Doctoral Universities – High research activity"".",25.5
University of Texas at Arlington,"The University of Texas at Arlington (UTA or UT Arlington) is a public research university in Arlington, Texas. The university was founded in 1895 and was in the Texas A&M University System for several decades until joining the University of Texas System in 1965. The university is classified among ""R1: Doctoral Universities – Very high research activity."" The fall 2021 campus enrollment consisted of 45,949 students making it the largest university in North Texas and fourth-largest in Texas. UT Arlington is the third-largest producer of college graduates in Texas and offers over 180 baccalaureate, masters, and doctoral degree programs. UT Arlington participates in 15 intercollegiate sports as a Division I member of the NCAA and Western Athletic Conference. UTA sports teams have been known as the Mavericks since 1971.",39.4
University of Texas at El Paso,"The University of Texas at El Paso (UTEP) is a public research university in El Paso, Texas. It is a member of the University of Texas System. UTEP is the second-largest university in the United States to have a majority Mexican American student population (about 80%) after the University of Texas Rio Grande Valley. It is classified among ""R1: Doctoral Universities – Very high research activity."" The university's School of Engineering is the nation's top producer of Hispanic engineers with M.S. and Ph.D. degrees. UTEP is home to the Sun Bowl stadium, which hosts the annual college football competition the Sun Bowl every winter. The campus is one of the few places in the world outside of Bhutan or Tibet to have buildings created with the Dzong architectural style. It sits on hillsides overlooking the Rio Grande river, with Ciudad Juárez in view across the Mexico–United States border.",34.8
University of Toledo,"The University of Toledo (UToledo or UT) is a public research university in Toledo, Ohio. It is the northernmost campus of the University System of Ohio. The university also operates a 450-acre (180 ha) Health Science campus, which includes the University of Toledo Medical Center, in the West Toledo neighborhood of Toledo; a 160-acre (65 ha) satellite campus in the Scott Park neighborhood of Toledo; the Center for the Visual Arts is located in downtown Toledo at the Toledo Museum of Art; and a research and education facility, known as the Lake Erie Center, at Maumee Bay State Park. The university was founded in 1872 in downtown Toledo as the Toledo University of Arts and Trades. It closed after six years. The city of Toledo took it over, reopening it in 1884 as the Toledo Manual Training School. The vocational school was developed as a university through the late 1800s. In 1931 the university moved to its current location in the Ottawa neighborhood. Since its establishment, the university has physically expanded to include more than 100 major buildings with a combined area of more 1,400 acres (570 ha) and transformed its academic program from one for vocational and secondary education into a comprehensive research university. It is known for its curriculum in the science, engineering, and medical fields. It is classified among ""R2: Doctoral Universities – High research activity"". The University of Toledo has over 100,000 living alumni and a current enrollment of more than 17,000 students. The university has more than 300 student organizations. Its athletic teams, called the Rockets, are members of the Mid-American Conference.",39.4
University of Trento,"The University of Trento (Italian: Università degli Studi di Trento) is an Italian university located in Trento and nearby Rovereto. It has been able to achieve considerable results in didactics, research, and international relations according to CENSIS ( Centro Studi Investimenti Sociali ) and the Italian Ministry of Education.",50.05
University of Trieste,"The University of Trieste (Italian: Università degli Studi di Trieste, or UniTS) is a public research university in Trieste in the Friuli-Venezia Giulia region in northeast Italy. The university consists of 10 departments, boasts a wide and almost complete range of university courses and has about 15,000 students and 1,000 professors. It was founded in 1924. The historical international vocation of the University of Trieste is witnessed by its intense and high-level activity: Trieste is the centre of many research facilities, with which the university is connected by cooperation agreements. Among them, there are the International School for Advanced Studies, the International Centre for Theoretical Physics, the National Institute of Oceanography, the International Centre for Genetic Engineering and Biotechnology, the Elettra Sincrotrone Trieste Facility, the Trieste sections of the Italian National Institute for Nuclear Physics (INFN) and Italian National Institute for Astrophysics (INAF), and many others, building up the so-called ""sistema Trieste"" (Trieste System). Moreover, the number of international inter-university co-operation agreements rapidly increased these last years. These agreements involve staff and student mobility, both within EU Programmes like the Socrates programme and agreements exclusively concerned with research activities. The 2014 Times Higher Education World University Rankings ranked it second among Italian universities. In 2019, U.S. News & World Report placed it at #67 among the top 100 universities in the world for Space Science. In the 2018 Round University Ranking of world universities, it stands at #99 for Life Sciences in the world.",43.599999999999994
University of Twente,"The University of Twente (Dutch: Universiteit Twente; Dutch pronunciation: [ynivɛrsiˈtɛit ˈtʋɛntə], abbr. UT) is a public technical university located in Enschede, Netherlands.The university has been placed in the top 170 universities in the world by multiple central ranking tables. In addition, the UT was ranked the best technical university in The Netherlands by Keuzegids Universiteiten, the most significant national university ranking.The UT collaborates with Delft University of Technology, Eindhoven University of Technology and the Wageningen University and Research Centre under the umbrella of 4TU and is also a partner in the European Consortium of Innovative Universities (ECIU).",59.7
University of Tübingen,"The University of Tübingen, officially the Eberhard Karl University of Tübingen (German: Eberhard Karls Universität Tübingen; Latin: Universitas Eberhardina Carolina), is a public research university located in the city of Tübingen, Baden-Württemberg, Germany. The University of Tübingen is one of eleven German Excellence Universities. The University of Tübingen is especially known as a centre for the study of plant biology, medicine, law, archeology, ancient cultures, philosophy, theology, and religious studies as well as more recently as center of excellence for artificial intelligence. The university's noted alumni include presidents, EU Commissioners, and judges of the Federal Constitutional Court. The university is associated with eleven Nobel laureates, especially in the fields of medicine and chemistry.",67.0
University of Utah,"The University of Utah (U of U, UofU, or simply The U) is a public research university in Salt Lake City, Utah. It is the flagship institution of the Utah System of Higher Education. The university was established in 1850 as the University of Deseret (/ˌdɛzəˈrɛt/) by the General Assembly of the provisional State of Deseret, making it Utah's oldest institution of higher education. It received its current name in 1892, four years before Utah attained statehood, and moved to its current location in 1900. As of Fall 2019, there were 24,485 undergraduate students and 8,333 graduate students, for an enrollment total of 32,818, making it the second largest public university in the state after Utah Valley University. Graduate studies include the S.J. Quinney College of Law and the School of Medicine, Utah's first medical school. It is a member of the Association of American Universities (AAU) and is classified among ""R1: Doctoral Universities – Very high research activity"". According to the National Science Foundation, the university received $552 million in research and development funding in 2018, ranking it 45th in the nation. In addition, the university's Honors College has been reviewed among 100 leading national Honors Colleges in the U.S. The university's health care system includes four hospitals, including the University of Utah Hospital and Huntsman Cancer Institute, along with twelve community clinics and specialty centers such as the Moran Eye Center. The university's athletic teams, the Utes, participate in NCAA Division I athletics (FBS for football) as a member of the Pac-12 Conference. Twenty-two Rhodes Scholars, four Nobel Prize winners, three Turing Award winners, eight MacArthur Fellows, various Pulitzer Prize winners, two astronauts, Gates Cambridge Scholars, and Churchill Scholars have been affiliated with the university as students, researchers, or faculty members in its history.",57.25
University of Valencia,"The University of Valencia (Valencian: Universitat de València [univeɾsiˈtad de vaˈlensia]; also known as UV) is a public research university located in the city of Valencia, Spain. It is one of the oldest surviving universities in Spain, and the oldest in the Valencian Community. It is regarded as one of Spain's leading academic institutions. The University was founded in 1499, and currently has around 55,000 students. Most of the courses are given through the medium of Spanish, but the university has promised to increase the number of courses available in Valencian. Moreover, in some degrees part of the teaching is in English. It is located in the Mediterranean Spanish baseline, in the city of Valencia which is the capital and most populous city of the autonomous community of Valencia and the third largest city in Spain, with a population of 829,705 in 2014. One of its campuses is located in the metropolitan area of Valencia, in the municipalities of Burjassot and Paterna. The current chancellor is María Vicenta Mestre Escrivá.",43.599999999999994
University of Victoria,"The University of Victoria (UVic or Victoria) is a public research university located in the municipalities of Oak Bay and Saanich, British Columbia, Canada. The university traces its roots to Victoria College, the first post-secondary institution established in the province of British Columbia in 1903. It was reincorporated as the University of Victoria in 1963. UVic hosts Ocean Networks Canada's deep-water seafloor research observatories VENUS and NEPTUNE, the Pacific Institute for Climate Solutions, and two Environment Canada labs: the Canadian Center for Climate Modelling and Analysis and the Water and Climate Impacts Research Centre. The Ocean Climate Building housed at the Queenswood location is dedicated solely to ocean and climate research. The Institute of Integrated Energy Systems is a leading center for research on sustainable energy solutions and alternative energy sources. The University of Victoria is also home to Canada's first and only Indigenous Law degree program along with dedicated research centers for Indigenous and Environmental law. The Faculty of Law was instrumental in the establishment of the Akitsiraq Law School by founding its first class in Iqualit, Nunavat. Along with The University of British Columbia and Simon Fraser University, UVic jointly founded and co-operates TRIUMF, Canada's national laboratory for particle and nuclear physics, which houses the world's largest cyclotron. Altogether UVic operates nine academic faculties and schools including the Faculty of Law and Peter B. Gustavson School of Business. The campus is situated 7 km north of downtown Victoria and is spread over 403 acres. UVic also has an offsite study center at the Jeanne S. Simpson Field Studies Resource Center in Lake Cowichan. The six-hectare Queenswood campus was acquired from the Sisters of St. Ann and converted into a national laboratory. The Legacy Art Gallery on Yates Street and a proposed redevelopment on Broad Street make up the properties owned by the university in downtown Victoria. Based in the capital city of British Columbia, the university has educated many prominent jurists and politicians including Jody Wilson-Raybould, Rona Ambrose, and Russell Brown. In recent years, the university counts amongst its alumni the founders of several leading technology companies, including Flickr, Slack, and Hootsuite. UVic alumni and faculty have also worked on Nobel Prize winning research teams. As of 2020, 7 Guggenheim Fellows, 3 Killiam Prize winners, 14 members of the Order of Canada, 11 Rhodes Scholars and 43 Fellows of the Royal Society of Canada have been affiliated with the university.",50.05
University of Vigo,"The University of Vigo (Galician: Universidade de Vigo) is a public university located in the city of Vigo in the Province of Pontevedra, Galicia, Spain. There are three campuses: 
* Campus of Vigo in Lagoas-Marcosende, between the municipalities of Vigo and Mos, 15 kilometres away from the city centre. Also known as CUVI (Ciudad universitaria de Vigo, University city of Vigo); 
* Campus of Pontevedra in A Xunqueira, Pontevedra, and in the city centre; 
* Campus of Ourense in As Lagoas, Ourense. Considered the most technical of the universities of Galicia, it offers engineer degrees in Mining, Telecommunications, Forestry Engineering, Computer Science and Industrial Engineering.",34.8
University of Waikato,"The University of Waikato (Māori: Te Whare Wānanga o Waikato), is a public research university in Hamilton, New Zealand established in 1964. An additional campus is located in Tauranga.The university performs research in the disciplines of education, social sciences, and management and is an innovator in environmental science, marine and freshwater ecology, engineering and computer science.It offers degrees in health, engineering, computer science, management, Māori and Indigenous Studies, the arts, psychology, social sciences and education.",47.2
University of Warsaw,"The University of Warsaw (Polish: Uniwersytet Warszawski, Latin: Universitas Varsoviensis) is a public university in Warsaw, Poland. Established in 1816, it is the largest institution of higher learning in the country offering 37 different fields of study as well as 100 specializations in humanities, technical, and the natural sciences. The University of Warsaw consists of 126 buildings and educational complexes with over 18 faculties: biology, chemistry, journalism and political science, philosophy and sociology, physics, geography and regional studies, geology, history, applied linguistics and philology, Polish language, pedagogy, economics, law and public administration, psychology, applied social sciences, management and mathematics, computer science and mechanics. The University of Warsaw is one of the top Polish universities. It was ranked by Perspektywy magazine as best Polish university in 2010, 2011, 2014, and 2016. International rankings such as ARWU and University Web Ranking ranked the university as the best Polish higher level institution in 2012.",39.4
University of Warwick,"The University of Warwick (/ˈwɒrɪk/ WORR-ik; abbreviated as Warw. in post-nominal letters) is a public research university on the outskirts of Coventry between the West Midlands and Warwickshire, England. The university was founded in 1965 as part of a government initiative to expand higher education. The Warwick Business School was established in 1967, the Warwick Law School in 1968, Warwick Manufacturing Group (WMG) in 1980, and Warwick Medical School in 2000. Warwick incorporated Coventry College of Education in 1979 and Horticulture Research International in 2004. Warwick is primarily based on a 290 hectares (720 acres) campus on the outskirts of Coventry, with a satellite campus in Wellesbourne and a central London base at the Shard. It is organised into three faculties—Arts, Science Engineering and Medicine, and Social Sciences—within which there are 32 departments. As of 2021, Warwick has around 29,534 full-time students and 2,691 academic and research staff. It had a consolidated income of £703.7 million in 2020/21, of which £139.8 million was from research grants and contracts. Warwick Arts Centre is a multi-venue arts complex in the university's main campus and is the largest venue of its kind in the UK, which is not in London. Warwick has an average intake of 4,950 undergraduates out of 38,071 applicants (7.7 applicants per place). Warwick is a member of AACSB, the Association of Commonwealth Universities, the Association of MBAs, EQUIS, the European University Association, the Midlands Innovation group, the Russell Group, Sutton 13 and Universities UK. It is the only European member of the Center for Urban Science and Progress, a collaboration with New York University. The university has extensive commercial activities, including the University of Warwick Science Park and WMG, University of Warwick. Warwick's alumni and staff include winners of the Nobel Prize, Turing Award, Fields Medal, Richard W. Hamming Medal, Emmy Award, Grammy, and the Padma Vibhushan, and are fellows to the British Academy, the Royal Society of Literature, the Royal Academy of Engineering, and the Royal Society. Alumni also include heads of state, government officials, leaders in intergovernmental organisations, and the current chief economist at the Bank of England. Researchers at Warwick have also made significant contributions such as the development of penicillin, music therapy, Washington Consensus, second-wave feminism, computing standards, including ISO and ECMA, complexity theory, contract theory, and the International Political Economy as a field of study.",66.1
University of West Attica,"The University of West Attica (UniWA; Greek: Πανεπιστήμιο Δυτικής Αττικής, ΠαΔΑ) was established in 2018 as a result of the merger of the Technological Educational Institute of Athens and the Technological Educational Institute of Piraeus and is situated in Athens, Greece. The National School of Public Health also joined the newly established institution in 2019 and UniWA now comprises 6 Schools and 27 Departments covering a wide range of modern Science, including Social, Administrative and Economic Sciences, Health and Food Sciences, Engineering, and Art Studies. Today, it is the third largest university in Greece (after the Aristotle University of Thessaloniki and the National and Kapodistrian University of Athens), and is considered the fastest growing university in the country and one of the fastest growing universities in Southeastern Europe.",16.2
University of West London,"The University of West London (UWL) is a public research university in the United Kingdom with campuses in Ealing, Brentford, and in Reading, Berkshire. The university has roots in 1860, when the Lady Byron School was founded, later Ealing College of Higher Education. In 1992, the then named Polytechnic of West London became a university as Thames Valley University. 18 years later, after several mergers, acquisitions and campus moves, it was renamed to its current name. The University of West London comprises nine schools: The Claude Littner Business School, the London Geller College of Hospitality and Tourism, the School of Computing and Engineering, London College of Music, the College of Nursing, Midwifery and Healthcare, the School of Law, the School of Human and Social Sciences, the School of Biomedical Sciences and the London School of Film, Media and Design.",30.450000000000003
University of Westminster,"The University of Westminster is a public teaching focused university based in London, United Kingdom. Founded in 1838 as the Royal Polytechnic Institution, it was the first polytechnic to open in London. The Polytechnic formally received a Royal charter in August 1839, and became the University of Westminster in 1992. Westminster has its main campus in Regent Street in central London, with additional campuses in Fitzrovia, Marylebone and Harrow. It also operates the Westminster International University in Tashkent in Uzbekistan. The university is organised into three colleges and 12 schools, within which there are around 65 departments and centres, including the Communication and Media Research Institute (CAMRI) and the Centre for the Study of Democracy. It also has its Policy Studies Institute, Business School and Law School. Westminster had an income of £205.1 million for 2017–2018, of which £22 million was from funding grants, research grants and contracts. The university is a member of the Association of Commonwealth Universities, the Association of MBAs, EFMD, EQUIS, and the European University Association. Westminster's alumni include a Nobel laureate in Medicine, the inventor of cordite, heads of state, politicians and mayors, Olympians, scientists, BAFTA- and Oscar-winning filmmakers, Rock and Roll Hall of Fame inductees, Grammy Award-winning musicians, journalists, and poets.",34.8
University of Winchester,"The University of Winchester is a public research university based in the city of Winchester, Hampshire, England. The university has origins tracing back to 1840, but was established in 2005. Winchester University is a member of The Cathedrals Group (officially the Council of Church Universities and Colleges or CCUC), an association of universities and university colleges in the United Kingdom. Every year the university holds its graduation ceremonies in Winchester Cathedral. Graduates of the University of Winchester may use the post-nominals Winton., from the Latin Wintoniensis meaning 'of Winchester'.",30.450000000000003
University of Windsor,"The University of Windsor (U of W or UWindsor) is a public research university in Windsor, Ontario, Canada. It is Canada's southernmost university. It has approximately 12,000 full-time and part-time undergraduate students and 4,000 graduate students. The university was incorporated by the provincial government in 1962, and has graduated more than 135,000 alumni. The University of Windsor has nine faculties, including the Faculty of Arts, Humanities and Social Sciences, the Faculty of Education, the Faculty of Engineering, Odette School of Business, the Faculty of Graduate Studies, the Faculty of Human Kinetics, the Faculty of Law, the Faculty of Nursing, and the Faculty of Science. Through its faculties and independent schools, the university has demonstrated its primary research focuses of automotive, environmental, social justice, and international trade research. In recent years, it has increasingly begun focusing on health, natural science, and entrepreneurship research.",43.599999999999994
University of Wollongong,"The University of Wollongong (abbreviated as UOW) is an Australian public research university located in the coastal city of Wollongong, New South Wales, approximately 80 kilometres south of Sydney. As of 2017, the university had an enrolment of more than 32,000 students (including over 12,800 international students from 134 countries), an alumni base of more than 131,859 and over 2,400 staff members. In 1951, a division of the New South Wales University of Technology (known as the University of New South Wales from 1958) was established in Wollongong for the conduct of diploma courses. In 1961, the Wollongong University College of the University of New South Wales was constituted and the college was officially opened in 1962. In 1975 the University of Wollongong was established as an independent institution. Since its establishment, the university has conferred more than 120,000 degrees, diplomas and certificates. Its students, originally predominantly from the local Illawarra region, are now from over 140 countries, with international students accounting for more than 30 percent of total. The University of Wollongong has developed into a multi-campus institution, both domestically and globally. The Wollongong campus, the university's main campus, is on the original site five kilometres north-west of the city centre, and covers an area of 82.4 hectares with 94 permanent buildings. In addition, there are regional university campuses in Bega, Batemans Bay, Moss Vale and Shoalhaven, as well as three Sydney campuses, including the UOW Sydney Business School, the South Western Sydney campus in Liverpool and Southern Sydney campus in Loftus. Overseas, the university has a presence in Dubai, United Arab Emirates. In the 2019 Student Experience Survey, the University of Wollongong recorded the highest student satisfaction rating out of all Australian universities, and the second highest student satisfaction rating out of all New South Wales public universities, with an overall satisfaction rating of 81.",57.25
University of Wolverhampton,"The University of Wolverhampton is a public university located on four campuses across the West Midlands, Shropshire and Staffordshire in England. The roots of the university lie in the Wolverhampton Tradesmen's and Mechanics' Institute founded in 1827 and the 19th-century growth of the Wolverhampton Free Library (1870), which developed technical, scientific, commercial and general classes. This merged in 1969 with the Municipal School of Art, originally founded in 1851, to form the Wolverhampton Polytechnic. The university has four faculties comprising eighteen schools and institutes. It has 18,875 students and currently offers over 380 undergraduate and postgraduate courses. The city campus is located in Wolverhampton city centre, with a second campus at Walsall and a third in Telford. There is an additional fourth campus in Wolverhampton at the University of Wolverhampton Science Park.",39.4
University of Wrocław,"The University of Wrocław (Polish: Uniwersytet Wrocławski, UWr; Latin: Universitas Wratislaviensis) is a public research university in Wrocław, Poland. It is the largest institution of higher learning in Lower Silesian Voivodeship, with over 100,000 graduates since 1945, including some 1,900 researchers, among whom many have received the highest awards for their contributions to the development of scientific scholarship. Renowned for its high quality of teaching, it was placed 44th by QS World University Rankings: EECA 2016, and is situated on the same campus as the former University of Breslau, which produced 9 Nobel Prize winners. The university was founded in 1945, replacing the previous German University of Breslau. Following the territorial changes of Poland's borders, academics primarily from the Jan Kazimierz University of Lwów restored the university building, which had been heavily damaged in the 1945 Battle of Breslau.",30.450000000000003
University of Wyoming,"The University of Wyoming (UW) is a public land-grant research university in Laramie, Wyoming. It was founded in March 1886, four years before the territory was admitted as the 44th state, and opened in September 1887. The University of Wyoming is unusual in that its location within the state is written into the state's constitution. The university also offers outreach education in communities throughout Wyoming and online. The University of Wyoming consists of seven colleges: agriculture and natural resources, arts and sciences, business, education, engineering and applied sciences, health sciences, and law. The university offers over 120 undergraduate, graduate and certificate programs including Doctor of Pharmacy and Juris Doctor. It is classified among ""R2: Doctoral Universities – High research activity"". In addition to on-campus classes in Laramie, the university's Outreach School offers more than 41 degree, certificate and endorsement programs to distance learners across the state and beyond. These programs are delivered through the use of technology, such as online and video conferencing classes. The Outreach School has nine regional centers in the state, with several on community college campuses, to give Wyoming residents access to a university education without relocating to Laramie.",39.4
University of Würzburg,"The Julius Maximilian University of Würzburg (also referred to as the University of Würzburg, in German Julius-Maximilians-Universität Würzburg) is a public research university in Würzburg, Germany. The University of Würzburg is one of the oldest institutions of higher learning in Germany, having been founded in 1402. The university initially had a brief run and was closed in 1415. It was reopened in 1582 on the initiative of Julius Echter von Mespelbrunn. Today, the university is named for Julius Echter von Mespelbrunn and Maximilian Joseph. The University of Würzburg is part of the U15 group of research-intensive German universities. The university is also a member of the Coimbra Group.",60.4
University of York,"The University of York (abbreviated as Ebor or York for post-nominals) is a collegiate research university, located in the city of York, England. Established in 1963, the university has expanded to more than thirty departments and centres, covering a wide range of subjects. Situated to the south-east of the city of York, the university campus is about 500 acres (200 hectares) in size. The original campus, Campus West, incorporates the York Science Park and the National Science Learning Centre, and its wildlife, campus lakes and greenery are prominent. In May 2007 the university was granted permission to build an extension to its main campus, on arable land just east of the nearby village of Heslington. The second campus, Campus East, opened in 2009 and now hosts four colleges and three departments as well as conference spaces, a sports village and a business start-up 'incubator'. The institution also leases King's Manor in York city centre. The university had a total income of £403.6 million in 2020/21, of which £69.8 million was from research grants and contracts. York is one of the first plate glass university to be established in the 1960s, and runs a distinctive collegiate system with 11 colleges as of 2022. An eleventh college, David Kato, opened in 2022. In 2012, York joined the Russell Group of research-intensive British universities.",62.4
University of Zagreb,"The University of Zagreb (Croatian: Sveučilište u Zagrebu, pronounced [sʋe.ǔt͡ʃiliʃte u zâgrebu]; Latin: Universitas Studiorum Zagrabiensis) is the largest Croatian university and the oldest continuously operating university in the area covering Central Europe south of Vienna and all of Southeastern Europe. The University of Zagreb and the University North are the only public universities operating in Northern and Central Croatia. The history of the University began on September 23, 1669, when the Holy Roman Emperor Leopold I issued a decree granting the establishment of the Jesuit Academy of the Royal Free City of Zagreb. The decree was accepted at the Council of the Croatian Kingdom on November 3, 1671. The Academy was run by the Jesuits for more than a century until the order was dissolved by Pope Clement XIV in 1773. In 1776, Empress Maria Theresa issued a decree founding the Royal Academy of Science which succeeded the previous Jesuit Academy. Bishop Josip Juraj Strossmayer proposed the founding of a University to the Croatian Parliament in 1861. Emperor Franz Joseph signed the decree on the establishment of the University of Zagreb in 1869. The Act of Founding was passed by the Parliament in 1874, and was ratified by the Emperor on January 5, 1874. On October 19, 1874, the Royal University of Franz Joseph I was officially opened. The University is composed of 29 faculties, 3 art academies and 1 university center with more than 70,000 students.",30.450000000000003
University of Zambia,"The University of Zambia (UNZA) is a public university located in Lusaka, Zambia. It is Zambia's largest and oldest learning institution. The university was established in 1965 and officially opened to the public on 12 July 1966. The language of instruction is English.",25.5
University of Zanjan,"The University of Zanjan (ZNU) (Persian: دانشگاه زنجان Dāneshgāh-e Zanjan) is located in Zanjan, Iran. It was founded in 1975 and organized in four faculties. Nowadays it is one of the largest universities of the country with a community of over 10,000 students. At the 2006 census, population of the nearby urban area (Zanjan city which is about 5 km away) was over 400s and the nearby rural area was only 125.",25.5
University of Zaragoza,"The University of Zaragoza, sometimes referred to as Saragossa University (Spanish: Universidad de Zaragoza) is a public university with teaching campuses and research centres spread over the three provinces of Aragon, Spain. Founded in 1542, it is one of the oldest universities in Spain, with a history dating back to the Roman period. Prime Ministers Pascual Madoz, Manuel Azaña, Salustiano de Olózaga and Eusebio Bardají, the Nobel Prize laureate and father of modern neuroscience Santiago Ramón y Cajal, the Catholic saint Josemaría Escrivá and the Cuban national hero Jose Marti studied at this university.",34.8
