,KL,KS,KS_p,MW,MW_p
net.layer3.1.conv2,0.0609417275153854,0.24,0.4754535018190584,348.0,0.4970333343322777
net.layer3.1.bn2,inf,0.16,0.914993219397903,326.0,0.8008063333381549
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.04531592881992904,0.2,0.7102038997076623,347.0,0.5094178543653265
net.layer4.0.bn1,inf,0.08,0.999999734559995,334.0,0.586488460816919
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,inf,0.2,0.7102038997076623,337.0,0.6414208537937369
net.layer4.0.bn2,0.03540801914860219,0.04,1.0,312.5,1.0
net.layer4.0.downsample,0.08342080713816788,0.16,0.914993219397903,329.0,0.7562164544255232
net.layer4.0.downsample.0,0.05876654018523876,0.2,0.7102038997076623,334.0,0.683634351570582
net.layer4.0.downsample.1,0.08515839147426371,0.28,0.2850421476958367,357.0,0.39323443591802465
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.03338682869649475,0.2,0.7102038997076623,331.0,0.7268817699688606
net.layer4.1.bn1,0.01044114261573699,0.04,1.0,313.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,inf,0.12,0.995531553175167,308.0,0.9381356914636003
net.layer4.1.bn2,inf,0.08,0.999999734559995,331.0,0.7063911470973674
net.avgpool,inf,0.28,0.2850421476958367,343.0,0.5599054121534517
net.fc,inf,0.24,0.4754535018190584,350.0,0.4724751461353165
linear,0.05180613551028162,0.12,0.995531553175167,307.0,0.9227132281229546
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
