,KL,KS,KS_p,MW,MW_p
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.09970817633484744,0.16,0.914993219397903,315.0,0.9690438145306467
net.layer3.0.bn1,inf,0.28,0.2850421476958367,363.0,0.3157499657572328
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.17522620270551215,0.16,0.914993219397903,319.0,0.9073175531117936
net.layer3.0.bn2,0.24280736624191257,0.24,0.4754535018190584,366.0,0.3037731151243457
net.layer3.0.downsample,0.11156838444160423,0.24,0.4754535018190584,283.0,0.5736325973465684
net.layer3.0.downsample.0,0.14858348936163862,0.2,0.7102038997076623,305.0,0.891950727063812
net.layer3.0.downsample.1,0.09041098931962639,0.16,0.914993219397903,298.0,0.7858989168050492
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.1667309782878737,0.16,0.914993219397903,305.0,0.8919610412784
net.layer3.1.bn1,inf,0.08,0.999999734559995,332.5,0.6327470914400066
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,0.21681173582858274,0.2,0.7102038997076623,300.0,0.8158814720445766
net.layer3.1.bn2,inf,0.2,0.7102038997076623,355.0,0.41498382576607395
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.24705536303226922,0.12,0.995531553175167,323.0,0.8461499183464102
net.layer4.0.bn1,inf,0.08,0.999999734559995,336.0,0.5513524465477059
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,0.20452233090388786,0.12,0.995531553175167,295.0,0.7414845495995619
net.layer4.0.bn2,0.17597865505030102,0.12,0.995531553175167,317.5,0.9160264763897348
net.layer4.0.downsample,0.2163899947049532,0.2,0.7102038997076623,290.0,0.6694793348058024
net.layer4.0.downsample.0,0.17309704689935668,0.24,0.4754535018190584,284.0,0.5869371700692589
net.layer4.0.downsample.1,0.23456979966652272,0.12,0.995531553175167,316.0,0.9535813971022133
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.19735132791341664,0.2,0.7102038997076623,285.0,0.6003466285210173
net.layer4.1.bn1,0.1448341233947473,0.08,0.999999734559995,314.0,0.9725784431559451
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,inf,0.12,0.995531553175167,319.0,0.9073197684781757
net.layer4.1.bn2,0.18194253061846302,0.08,0.999999734559995,316.0,0.9507873990538342
net.avgpool,inf,0.36,0.07789836549197329,360.0,0.36035795086427636
net.fc,inf,0.24,0.4754535018190584,341.0,0.5866045251868941
linear,0.19693338179710407,0.08,0.999999734559995,325.0,0.8158814720445766
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
