,KL,KS,KS_p,MW,MW_p
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.1778184528967281,0.28,0.2850421476958367,373.0,0.24432074260995829
net.layer4.1.bn1,0.06702768490854684,0.04,1.0,313.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,inf,0.2,0.7102038997076623,345.0,0.5345534580179381
net.layer4.1.bn2,inf,0.12,0.995531553175167,341.0,0.5539709117609968
net.avgpool,inf,0.24,0.4754535018190584,360.0,0.36123796033266786
net.fc,inf,0.2,0.7102038997076623,347.0,0.5093364881254586
linear,0.16213197897780224,0.28,0.2850421476958367,369.0,0.27718534417851004
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
