,KL,KS,KS_p,MW,MW_p
net.layer4.0.bn1,0.028962718972472795,0.04,1.0,314.0,0.9804483768043382
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,0.04747625528840159,0.12,0.995531553175167,320.0,0.8919610412784
net.layer4.0.bn2,0.03086661380782413,0.04,1.0,312.5,1.0
net.layer4.0.downsample,0.07484312036348466,0.16,0.914993219397903,299.0,0.800853160950144
net.layer4.0.downsample.0,0.09705381807436944,0.12,0.995531553175167,319.0,0.9073197684781757
net.layer4.0.downsample.1,0.04069325773322539,0.12,0.995531553175167,325.0,0.8158901548607471
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.026542146843672537,0.12,0.995531553175167,328.0,0.7710132797259659
net.layer4.1.bn1,0.010224047201954786,0.04,1.0,313.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,0.036055292231981104,0.12,0.995531553175167,319.0,0.9073175531117936
net.layer4.1.bn2,inf,0.08,0.999999734559995,322.0,0.8505994364598184
net.avgpool,inf,0.2,0.7102038997076623,326.0,0.8007829071435498
net.fc,inf,0.08,0.999999734559995,318.0,0.9227095280591425
linear,0.03264586454121662,0.12,0.995531553175167,312.0,1.0
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
