,target,pred,category,bcountry,nat,movement,out,embedding,lstm,hidden
10,0.0,[0.2788394],"['http://dbpedia.org/resource/Category:1828_deaths', 'http://dbpedia.org/resource/Category:Ukrainian_explorers', 'http://dbpedia.org/resource/Category:History_of_the_San_Francisco_Bay_Area', 'http://dbpedia.org/resource/Category:Ukrainian_people_of_German_descent', 'http://dbpedia.org/resource/Category:Ukrainian_illustrators', 'http://dbpedia.org/resource/Category:Male_murder_victims', 'http://dbpedia.org/resource/Category:Artists_from_Dnipro', 'http://dbpedia.org/resource/Category:1795_births']",['unknown'],['unknown'],['unknown'],0,4,24,1
11,1.0,[0.66409767],"['http://dbpedia.org/resource/Category:Jewish_American_artists', 'http://dbpedia.org/resource/Category:American_people_of_Polish-Jewish_descent', 'http://dbpedia.org/resource/Category:1959_deaths', 'http://dbpedia.org/resource/Category:Académie_Julian_alumni', 'http://dbpedia.org/resource/Category:American_emigrants_to_England', 'http://dbpedia.org/resource/Category:American_alumni_of_the_École_des_Beaux-Arts', 'http://dbpedia.org/resource/Category:20th-century_British_sculptors', 'http://dbpedia.org/resource/Category:1880_births', 'http://dbpedia.org/resource/Category:American_expatriates_in_France', 'http://dbpedia.org/resource/Category:English_sculptors', 'http://dbpedia.org/resource/Category:Jacob_Epstein', 'http://dbpedia.org/resource/Category:Jewish_Legion', 'http://dbpedia.org/resource/Category:English_Jews', 'http://dbpedia.org/resource/Category:Knights_Commander_of_the_Order_of_the_British_Empire', 'http://dbpedia.org/resource/Category:Jewish_sculptors', 'http://dbpedia.org/resource/Category:People_from_Loughton', 'http://dbpedia.org/resource/Category:English_male_sculptors', 'http://dbpedia.org/resource/Category:Naturalised_citizens_of_the_United_Kingdom', 'http://dbpedia.org/resource/Category:English_people_of_Polish-Jewish_descent']",['http://dbpedia.org/resource/United_States'],"['http://dbpedia.org/resource/British_nationality_law', 'http://dbpedia.org/resource/United_States_nationality_law']",['unknown'],0,5,20,18
12,0.0,[0.49525574],"['http://dbpedia.org/resource/Category:Renaissance_painters', 'http://dbpedia.org/resource/Category:16th-century_Italian_painters']",['unknown'],['unknown'],['unknown'],0,20,0,15
13,0.0,[0.6787229],"['http://dbpedia.org/resource/Category:Painters_from_Antwerp', 'http://dbpedia.org/resource/Category:1584_deaths']",['unknown'],['unknown'],['unknown'],0,15,1,22
14,0.0,[0.27024844],"['http://dbpedia.org/resource/Category:19th-century_English_male_artists', 'http://dbpedia.org/resource/Category:18th-century_English_painters', 'http://dbpedia.org/resource/Category:1762_births', 'http://dbpedia.org/resource/Category:19th-century_English_painters', 'http://dbpedia.org/resource/Category:19th-century_engravers']",['unknown'],['unknown'],['unknown'],0,4,24,0
15,0.0,[0.1226728],"['http://dbpedia.org/resource/Category:20th-century_South_African_women_artists', 'http://dbpedia.org/resource/Category:1952_births', 'http://dbpedia.org/resource/Category:Living_people', 'http://dbpedia.org/resource/Category:South_African_painters']",['unknown'],['unknown'],['unknown'],0,20,0,0
16,1.0,[0.5976808],"['http://dbpedia.org/resource/Category:German_male_painters', 'http://dbpedia.org/resource/Category:People_executed_for_treason', 'http://dbpedia.org/resource/Category:1480_births', 'http://dbpedia.org/resource/Category:German_Renaissance_painters']",['http://dbpedia.org/resource/http://dbpedia.org/resource/Germany'],['http://dbpedia.org/resource/Germans'],['unknown'],0,4,24,9
17,0.0,[0.3022955],"['http://dbpedia.org/resource/Category:1743_deaths', 'http://dbpedia.org/resource/Category:French_male_painters', 'http://dbpedia.org/resource/Category:18th-century_French_painters', 'http://dbpedia.org/resource/Category:1661_births', 'http://dbpedia.org/resource/Category:French_tapestry_artists', 'http://dbpedia.org/resource/Category:17th-century_French_painters']",['unknown'],['unknown'],['unknown'],0,20,0,5
18,0.0,[0.35076892],"['http://dbpedia.org/resource/Category:1607_births', 'http://dbpedia.org/resource/Category:17th-century_Neapolitan_people']",['unknown'],['unknown'],['unknown'],0,4,24,2
19,1.0,[0.73763746],"['http://dbpedia.org/resource/Category:1953_births', 'http://dbpedia.org/resource/Category:German_contemporary_artists', 'http://dbpedia.org/resource/Category:1997_deaths', 'http://dbpedia.org/resource/Category:Deaths_from_cancer_in_Austria']",['http://dbpedia.org/resource/http://dbpedia.org/resource/Germany'],['German'],['unknown'],0,20,0,23
20,1.0,[0.8452301],"['http://dbpedia.org/resource/Category:Early_Netherlandish_painters', 'http://dbpedia.org/resource/Category:Year_of_death_unknown']",['unknown'],['unknown'],['unknown'],0,20,5,24
21,0.0,[0.39109513],"['http://dbpedia.org/resource/Category:1938_deaths', 'http://dbpedia.org/resource/Category:20th-century_Lithuanian_painters', 'http://dbpedia.org/resource/Category:19th-century_Lithuanian_painters', 'http://dbpedia.org/resource/Category:Lithuanian_Jews']",['unknown'],['unknown'],['unknown'],0,20,0,10
22,1.0,[0.33121502],"['http://dbpedia.org/resource/Category:English_portrait_painters', 'http://dbpedia.org/resource/Category:19th-century_English_male_artists', 'http://dbpedia.org/resource/Category:English_male_painters', 'http://dbpedia.org/resource/Category:18th-century_English_painters', 'http://dbpedia.org/resource/Category:1831_deaths']",['unknown'],['English'],['unknown'],0,4,24,2
23,1.0,[0.69730073],"['http://dbpedia.org/resource/Category:20th-century_German_printmakers', 'http://dbpedia.org/resource/Category:People_from_the_Province_of_Saxony', 'http://dbpedia.org/resource/Category:People_from_Querfurt', 'http://dbpedia.org/resource/Category:20th-century_German_male_artists', 'http://dbpedia.org/resource/Category:1987_deaths', 'http://dbpedia.org/resource/Category:1895_births']",['http://dbpedia.org/resource/http://dbpedia.org/resource/Germany'],['http://dbpedia.org/resource/Germany'],['unknown'],0,4,24,14
24,0.0,[0.4954317],"['http://dbpedia.org/resource/Category:Native_American_printmakers', 'http://dbpedia.org/resource/Category:Native_American_sculptors', 'http://dbpedia.org/resource/Category:20th-century_American_printmakers', 'http://dbpedia.org/resource/Category:Native_American_painters', 'http://dbpedia.org/resource/Category:20th-century_American_sculptors', 'http://dbpedia.org/resource/Category:People_from_Cook_County,_Minnesota', 'http://dbpedia.org/resource/Category:Abstract_expressionist_artists', 'http://dbpedia.org/resource/Category:1919_births']",['unknown'],"['http://dbpedia.org/resource/Minnesota_Chippewa_Tribe', 'http://dbpedia.org/resource/Grand_Portage_Band']",['unknown'],0,22,2,12
25,1.0,[0.73544925],"['http://dbpedia.org/resource/Category:1982_deaths', 'http://dbpedia.org/resource/Category:1900_births', 'http://dbpedia.org/resource/Category:20th-century_LGBT_people']",['unknown'],['American'],['http://dbpedia.org/resource/Abstract_Expressionism'],0,7,21,19
26,1.0,[0.897572],"['http://dbpedia.org/resource/Category:Italian_Renaissance_painters', 'http://dbpedia.org/resource/Category:People_from_Castelfranco_Veneto', 'http://dbpedia.org/resource/Category:1470s_births']",['http://dbpedia.org/resource/Italy'],['http://dbpedia.org/resource/Republic_of_Venice'],['http://dbpedia.org/resource/High_Renaissance'],0,20,5,24
27,1.0,[0.06455107],"['http://dbpedia.org/resource/Category:Australian_people_of_Latvian_descent', 'http://dbpedia.org/resource/Category:Archibald_Prize_finalists', 'http://dbpedia.org/resource/Category:Living_people']",['unknown'],['unknown'],['unknown'],0,4,24,0
28,1.0,[0.76473814],"['http://dbpedia.org/resource/Category:1769_births', 'http://dbpedia.org/resource/Category:Landscape_artists', 'http://dbpedia.org/resource/Category:1859_deaths', 'http://dbpedia.org/resource/Category:18th-century_English_male_artists', 'http://dbpedia.org/resource/Category:English_male_painters', 'http://dbpedia.org/resource/Category:Burials_at_Kensal_Green_Cemetery', 'http://dbpedia.org/resource/Category:Royal_Academicians', 'http://dbpedia.org/resource/Category:18th-century_English_painters', 'http://dbpedia.org/resource/Category:19th-century_English_painters', 'http://dbpedia.org/resource/Category:Animal_artists', 'http://dbpedia.org/resource/Category:19th-century_English_male_artists']",['http://dbpedia.org/resource/United_Kingdom'],['http://dbpedia.org/resource/England'],"['http://dbpedia.org/resource/Romanticism', 'http://dbpedia.org/resource/Landscape_art']",0,4,24,24
29,0.0,[0.13480487],"['http://dbpedia.org/resource/Category:People_from_Wilmington,_North_Carolina', 'http://dbpedia.org/resource/Category:20th-century_American_male_artists', 'http://dbpedia.org/resource/Category:Sculptors_from_New_York_(state)', 'http://dbpedia.org/resource/Category:American_male_painters', 'http://dbpedia.org/resource/Category:Sculptors_from_North_Carolina', 'http://dbpedia.org/resource/Category:20th-century_American_sculptors']",['unknown'],['http://dbpedia.org/resource/United_States'],['unknown'],0,4,24,0
30,0.0,[0.5902594],"['http://dbpedia.org/resource/Category:Gothic_painters', 'http://dbpedia.org/resource/Category:Accidental_deaths_in_Italy', 'http://dbpedia.org/resource/Category:Catholic_painters', 'http://dbpedia.org/resource/Category:Painters_from_Tuscany', 'http://dbpedia.org/resource/Category:Year_of_death_unknown']",['unknown'],['unknown'],['unknown'],0,20,5,20
31,1.0,[0.7026179],"['http://dbpedia.org/resource/Category:Male_painters', 'http://dbpedia.org/resource/Category:Chilean_male_artists']",['unknown'],['unknown'],['unknown'],0,20,5,22
32,0.0,[0.29937637],['http://dbpedia.org/resource/Category:1779_births'],['unknown'],['unknown'],['unknown'],0,4,24,1
33,1.0,[0.761805],"['http://dbpedia.org/resource/Category:Renaissance_in_Scotland', 'http://dbpedia.org/resource/Category:Manuscript_illuminators', 'http://dbpedia.org/resource/Category:16th-century_Flemish_painters', 'http://dbpedia.org/resource/Category:16th-century_deaths']",['unknown'],['unknown'],['unknown'],0,20,5,23
34,0.0,[0.24401627],"['http://dbpedia.org/resource/Category:Italian_male_painters', 'http://dbpedia.org/resource/Category:1676_deaths', 'http://dbpedia.org/resource/Category:Painters_from_Venice', 'http://dbpedia.org/resource/Category:1612_births']",['unknown'],['unknown'],['unknown'],0,4,24,0
35,1.0,[0.9092502],"['http://dbpedia.org/resource/Category:1601_births', 'http://dbpedia.org/resource/Category:Artists_from_Antwerp']",['unknown'],['unknown'],['unknown'],0,20,10,24
36,0.0,[0.6070988],"['http://dbpedia.org/resource/Category:20th-century_Czech_male_artists', 'http://dbpedia.org/resource/Category:Czech_resistance_members', 'http://dbpedia.org/resource/Category:20th-century_Czech_painters', 'http://dbpedia.org/resource/Category:Artists_from_Prague', 'http://dbpedia.org/resource/Category:1926_births', 'http://dbpedia.org/resource/Category:Modern_painters']",['http://dbpedia.org/resource/Czechia'],['unknown'],['unknown'],0,20,0,21
37,0.0,[0.3438489],"['http://dbpedia.org/resource/Category:New_Age_writers', 'http://dbpedia.org/resource/Category:Artists_from_Glasgow', 'http://dbpedia.org/resource/Category:Esotericists', 'http://dbpedia.org/resource/Category:New_Thought_writers', 'http://dbpedia.org/resource/Category:Scottish_spiritual_mediums', 'http://dbpedia.org/resource/Category:Scottish_religious_leaders', 'http://dbpedia.org/resource/Category:Spiritual_teachers']",['http://dbpedia.org/resource/United_Kingdom'],['British'],['unknown'],0,20,0,5
38,0.0,[0.13961653],"['http://dbpedia.org/resource/Category:1962_births', 'http://dbpedia.org/resource/Category:20th-century_American_painters', 'http://dbpedia.org/resource/Category:American_male_painters', 'http://dbpedia.org/resource/Category:20th-century_American_male_artists']",['unknown'],['unknown'],['unknown'],0,20,0,0
39,0.0,[0.04616956],['http://dbpedia.org/resource/Category:Belgian_women_painters'],['http://dbpedia.org/resource/Belgium'],['http://dbpedia.org/resource/Belgium'],['unknown'],0,4,24,0
40,0.0,[0.2654588],"['http://dbpedia.org/resource/Category:Robert_College_alumni', 'http://dbpedia.org/resource/Category:Modern_painters', 'http://dbpedia.org/resource/Category:Turkish_Marxists', 'http://dbpedia.org/resource/Category:Deaths_from_cancer_in_France']",['unknown'],['Turkish'],['unknown'],0,4,24,1
41,0.0,[0.4408813],"['http://dbpedia.org/resource/Category:19th-century_Scottish_male_artists', 'http://dbpedia.org/resource/Category:Scottish_male_painters', 'http://dbpedia.org/resource/Category:20th-century_Scottish_male_artists']",['unknown'],['unknown'],['unknown'],0,8,14,3
42,1.0,[0.8811327],"['http://dbpedia.org/resource/Category:People_from_Cortona', 'http://dbpedia.org/resource/Category:15th-century_Italian_painters', 'http://dbpedia.org/resource/Category:Painters_from_Tuscany', 'http://dbpedia.org/resource/Category:Italian_Renaissance_painters']",['http://dbpedia.org/resource/Italy'],['Italian'],['http://dbpedia.org/resource/Early_Renaissance'],0,19,22,24
43,0.0,[0.2008906],"['http://dbpedia.org/resource/Category:1979_deaths', 'http://dbpedia.org/resource/Category:20th-century_English_women_artists', 'http://dbpedia.org/resource/Category:English_women_painters']",['http://dbpedia.org/resource/United_Kingdom'],['http://dbpedia.org/resource/United_Kingdom'],['unknown'],0,14,14,0
44,1.0,[0.68178487],"['http://dbpedia.org/resource/Category:Russian_male_painters', 'http://dbpedia.org/resource/Category:French_people_of_Russian_descent', 'http://dbpedia.org/resource/Category:Artists_from_Odesa', 'http://dbpedia.org/resource/Category:Burials_at_Neuilly-sur-Seine_community_cemetery', 'http://dbpedia.org/resource/Category:Artists_from_Moscow', 'http://dbpedia.org/resource/Category:Academy_of_Fine_Arts,_Munich_alumni', 'http://dbpedia.org/resource/Category:1944_deaths', 'http://dbpedia.org/resource/Category:Emigrants_from_the_Russian_Empire_to_France', 'http://dbpedia.org/resource/Category:Modern_artists', 'http://dbpedia.org/resource/Category:Russian_people_of_East_Asian_descent']",['http://dbpedia.org/resource/Russia'],"['Russian, later French']","['http://dbpedia.org/resource/Expressionism', 'http://dbpedia.org/resource/Abstract_art']",0,20,0,22
45,1.0,[0.44956982],"['http://dbpedia.org/resource/Category:People_from_Warwickshire_(before_1974)', 'http://dbpedia.org/resource/Category:18th-century_English_male_artists', 'http://dbpedia.org/resource/Category:British_war_artists', 'http://dbpedia.org/resource/Category:1682_births', 'http://dbpedia.org/resource/Category:English_male_painters', 'http://dbpedia.org/resource/Category:17th-century_English_painters', 'http://dbpedia.org/resource/Category:18th-century_English_painters', 'http://dbpedia.org/resource/Category:Equine_artists']","['http://dbpedia.org/resource/Warwickshire', 'http://dbpedia.org/resource/United_Kingdom', 'http://dbpedia.org/resource/England']",['English'],['unknown'],0,4,24,3
46,1.0,[0.6563342],"['http://dbpedia.org/resource/Category:American_Impressionism', 'http://dbpedia.org/resource/Category:Indiana_culture']",['unknown'],['unknown'],['unknown'],0,20,5,21
47,0.0,[0.67550915],"['http://dbpedia.org/resource/Category:Painters_from_Parma', 'http://dbpedia.org/resource/Category:16th-century_Italian_painters', 'http://dbpedia.org/resource/Category:15th-century_Italian_painters']",['http://dbpedia.org/resource/Italy'],['http://dbpedia.org/resource/Italy'],['http://dbpedia.org/resource/Renaissance'],0,20,0,22
48,0.0,[0.42614996],"['http://dbpedia.org/resource/Category:20th-century_English_painters', 'http://dbpedia.org/resource/Category:English_male_painters', 'http://dbpedia.org/resource/Category:20th-century_English_male_artists']",['unknown'],['unknown'],['unknown'],0,1,18,3
49,0.0,[0.4195801],"['http://dbpedia.org/resource/Category:20th-century_English_women_writers', 'http://dbpedia.org/resource/Category:British_surrealist_writers', 'http://dbpedia.org/resource/Category:British_women_painters', 'http://dbpedia.org/resource/Category:English_occult_writers', 'http://dbpedia.org/resource/Category:People_from_Shillong', 'http://dbpedia.org/resource/Category:British_surrealist_artists', ""http://dbpedia.org/resource/Category:People_educated_at_Cheltenham_Ladies'_College"", 'http://dbpedia.org/resource/Category:20th-century_English_non-fiction_writers']",['http://dbpedia.org/resource/India'],['British'],['unknown'],0,20,0,10
50,0.0,[0.11783845],"['http://dbpedia.org/resource/Category:Artists_from_Skopje', 'http://dbpedia.org/resource/Category:Film_people_from_Skopje']",['http://dbpedia.org/resource/North_Macedonia'],['unknown'],['unknown'],0,9,19,0
51,1.0,[0.7570976],"['http://dbpedia.org/resource/Category:American_sailors', 'http://dbpedia.org/resource/Category:1971_deaths', 'http://dbpedia.org/resource/Category:American_realist_painters', 'http://dbpedia.org/resource/Category:20th-century_American_painters', 'http://dbpedia.org/resource/Category:American_printmakers', 'http://dbpedia.org/resource/Category:American_wood_engravers', 'http://dbpedia.org/resource/Category:Students_of_Robert_Henri']",['unknown'],['unknown'],['unknown'],0,4,24,19
52,1.0,[0.72235197],"['http://dbpedia.org/resource/Category:Fresco_painters', 'http://dbpedia.org/resource/Category:1410_deaths']",['unknown'],['unknown'],['unknown'],0,3,24,19
53,1.0,[0.37522265],"['http://dbpedia.org/resource/Category:20th-century_Scottish_painters', 'http://dbpedia.org/resource/Category:British_Army_personnel_of_World_War_I', 'http://dbpedia.org/resource/Category:World_War_II_artists', 'http://dbpedia.org/resource/Category:Royal_Academicians', 'http://dbpedia.org/resource/Category:Alumni_of_the_Edinburgh_College_of_Art', 'http://dbpedia.org/resource/Category:Scottish_portrait_painters', 'http://dbpedia.org/resource/Category:Artists_from_Glasgow', 'http://dbpedia.org/resource/Category:1893_births', 'http://dbpedia.org/resource/Category:20th-century_Scottish_male_artists']",['unknown'],['British'],['unknown'],0,4,24,2
54,0.0,[0.21082252],['http://dbpedia.org/resource/Category:19th-century_engravers'],['unknown'],['unknown'],['unknown'],0,20,0,0
55,1.0,[0.6876418],"['http://dbpedia.org/resource/Category:Burials_at_Cernica_Monastery_Cemetery', 'http://dbpedia.org/resource/Category:Members_of_the_Romanian_Orthodox_Church', 'http://dbpedia.org/resource/Category:20th-century_Romanian_painters']",['http://dbpedia.org/resource/Romania'],['Romanian'],['http://dbpedia.org/resource/Expressionism'],0,18,3,14
56,0.0,[0.78929186],"['http://dbpedia.org/resource/Category:16th-century_Italian_painters', 'http://dbpedia.org/resource/Category:Fresco_painters', 'http://dbpedia.org/resource/Category:People_from_Pordenone']",['unknown'],['unknown'],['unknown'],0,20,0,24
57,0.0,[0.7144166],"['http://dbpedia.org/resource/Category:19th-century_American_male_artists', 'http://dbpedia.org/resource/Category:1852_births', 'http://dbpedia.org/resource/Category:American_landscape_painters', 'http://dbpedia.org/resource/Category:20th-century_American_painters', 'http://dbpedia.org/resource/Category:Art_Students_League_of_New_York_faculty']",['unknown'],['American'],['unknown'],0,2,22,19
58,1.0,[0.8509878],"['http://dbpedia.org/resource/Category:1629_births', 'http://dbpedia.org/resource/Category:1684_deaths']",['http://dbpedia.org/resource/Netherlands'],['Dutch'],['unknown'],0,23,20,24
59,0.0,[0.4980418],"['http://dbpedia.org/resource/Category:19th-century_English_women_artists', 'http://dbpedia.org/resource/Category:British_genre_painters', 'http://dbpedia.org/resource/Category:Artists_from_London', 'http://dbpedia.org/resource/Category:19th-century_English_painters', 'http://dbpedia.org/resource/Category:English_women_painters', 'http://dbpedia.org/resource/Category:19th-century_painters_of_historical_subjects', 'http://dbpedia.org/resource/Category:20th-century_English_women_artists', 'http://dbpedia.org/resource/Category:20th-century_English_painters', 'http://dbpedia.org/resource/Category:1924_deaths']",['http://dbpedia.org/resource/United_Kingdom'],['British'],['unknown'],0,9,24,4
60,1.0,[0.8155527],"['http://dbpedia.org/resource/Category:Artists_from_Kraków', 'http://dbpedia.org/resource/Category:1907_deaths', 'http://dbpedia.org/resource/Category:Polish_male_dramatists_and_playwrights', 'http://dbpedia.org/resource/Category:1869_births', 'http://dbpedia.org/resource/Category:19th-century_Polish_male_writers', 'http://dbpedia.org/resource/Category:Polish_male_painters', 'http://dbpedia.org/resource/Category:20th-century_Polish_painters', 'http://dbpedia.org/resource/Category:19th-century_Polish_male_artists', 'http://dbpedia.org/resource/Category:19th-century_Polish_poets', 'http://dbpedia.org/resource/Category:19th-century_Polish_dramatists_and_playwrights', 'http://dbpedia.org/resource/Category:19th-century_Polish_painters', 'http://dbpedia.org/resource/Category:Polish_male_poets', 'http://dbpedia.org/resource/Category:Writers_from_Kraków', 'http://dbpedia.org/resource/Category:Architects_from_Kraków']",['http://dbpedia.org/resource/Poland'],['http://dbpedia.org/resource/Poles'],"['http://dbpedia.org/resource/Art_Nouveau', 'http://dbpedia.org/resource/Symbolism_(arts)']",0,20,5,24
61,0.0,[0.49832064],['http://dbpedia.org/resource/Category:1729_births'],['unknown'],['unknown'],['unknown'],0,22,2,12
62,1.0,[0.3254814],"['http://dbpedia.org/resource/Category:16th-century_Italian_painters', 'http://dbpedia.org/resource/Category:Italian_Renaissance_painters']",['unknown'],['unknown'],['unknown'],0,14,14,1
63,0.0,[0.33302063],"['http://dbpedia.org/resource/Category:1880_births', 'http://dbpedia.org/resource/Category:1965_deaths']",['unknown'],['unknown'],['unknown'],0,20,0,5
64,0.0,[0.14193633],"['http://dbpedia.org/resource/Category:Qing_dynasty_landscape_painters', 'http://dbpedia.org/resource/Category:Painters_from_Suzhou']",['unknown'],['unknown'],['unknown'],0,23,3,0
65,1.0,[0.9834989],"['http://dbpedia.org/resource/Category:Russian_male_painters', 'http://dbpedia.org/resource/Category:Leningrad_School_artists', 'http://dbpedia.org/resource/Category:20th-century_Russian_painters', 'http://dbpedia.org/resource/Category:Russian_landscape_painters', 'http://dbpedia.org/resource/Category:1912_births', 'http://dbpedia.org/resource/Category:Socialist_realist_artists']",['http://dbpedia.org/resource/Russia'],"['http://dbpedia.org/resource/USSR', 'http://dbpedia.org/resource/Russians']",['http://dbpedia.org/resource/Realism_(art)'],0,5,20,24
66,1.0,[0.7343993],"['http://dbpedia.org/resource/Category:15th-century_Italian_painters', 'http://dbpedia.org/resource/Category:1530s_deaths', 'http://dbpedia.org/resource/Category:Painters_from_Milan']",['http://dbpedia.org/resource/Italy'],['Italian'],['unknown'],0,4,24,19
67,1.0,[0.6320243],"['http://dbpedia.org/resource/Category:American_male_painters', 'http://dbpedia.org/resource/Category:20th-century_American_male_artists', 'http://dbpedia.org/resource/Category:1953_deaths', 'http://dbpedia.org/resource/Category:Artists_from_Karlsruhe']",['unknown'],['German-American'],['unknown'],0,20,5,21
68,1.0,[0.6714963],"['http://dbpedia.org/resource/Category:Persian-language_film_directors', 'http://dbpedia.org/resource/Category:Crystal_Simorgh_for_Best_Director_winners', 'http://dbpedia.org/resource/Category:Abbas_Kiarostami', 'http://dbpedia.org/resource/Category:Deaths_from_gastrointestinal_cancer', 'http://dbpedia.org/resource/Category:Iranian_screenwriters', 'http://dbpedia.org/resource/Category:Iranian_film_directors', 'http://dbpedia.org/resource/Category:Iranian_photographers', 'http://dbpedia.org/resource/Category:Postmodernist_filmmakers', 'http://dbpedia.org/resource/Category:Iranian_graphic_designers', 'http://dbpedia.org/resource/Category:University_of_Tehran_alumni', 'http://dbpedia.org/resource/Category:Poets_from_Tehran', 'http://dbpedia.org/resource/Category:Fellini_Gold_Medalists', 'http://dbpedia.org/resource/Category:Iranian_documentary_filmmakers', 'http://dbpedia.org/resource/Category:French-language_film_directors', 'http://dbpedia.org/resource/Category:Iranian_contemporary_artists', 'http://dbpedia.org/resource/Category:People_from_Tehran']",['http://dbpedia.org/resource/Iran'],['Iranian'],['unknown'],0,20,0,22
69,0.0,[0.5122932],"['http://dbpedia.org/resource/Category:Italian_male_painters', 'http://dbpedia.org/resource/Category:16th-century_Italian_painters', 'http://dbpedia.org/resource/Category:1430s_births']",['unknown'],['unknown'],['unknown'],0,20,0,16
70,1.0,[0.793952],"['http://dbpedia.org/resource/Category:Artists_from_New_York_(state)', 'http://dbpedia.org/resource/Category:Artists_from_Maine', 'http://dbpedia.org/resource/Category:20th-century_American_male_artists', 'http://dbpedia.org/resource/Category:Hudson_River_School_painters', 'http://dbpedia.org/resource/Category:20th-century_American_painters']",['http://dbpedia.org/resource/United_States'],['American'],['http://dbpedia.org/resource/Orientalism'],0,20,10,24
71,1.0,[0.8814184],['http://dbpedia.org/resource/Category:1698_births'],['http://dbpedia.org/resource/France'],['http://dbpedia.org/resource/France'],['unknown'],0,22,20,24
